"","SURVEY_DEFINITION_ID","SURVEY","CRUISE","CRUISEJOIN","YEAR","HAULJOIN","STRATUM","DESIGN_YEAR","LATITUDE_DD_START","LATITUDE_DD_END","LONGITUDE_DD_START","LONGITUDE_DD_END","DEPTH_M","BOTTOM_TEMPERATURE_C","SPECIES_CODE","WEIGHT_KG","COUNT","AREA_SWEPT_KM2","CPUE_KGKM2","CPUE_NOKM2","STATIONID"
"1",98,"EBS",202501,-773,2025,-24787,82,2022,61.33241,61.3322,-173.651,-173.59262,74,-0.2,10115,0,0,0.053522452,0,0,"T-25"
"2",98,"EBS",202501,-773,2025,-24787,82,2022,61.33241,61.3322,-173.651,-173.59262,74,-0.2,10140,35.299,115,0.053522452,659.517617017995,2148.63100816084,"T-25"
"3",98,"EBS",202501,-773,2025,-24787,82,2022,61.33241,61.3322,-173.651,-173.59262,74,-0.2,10212,0.267,5,0.053522452,4.98856068851255,93.4187394852538,"T-25"
"4",98,"EBS",202501,-773,2025,-24787,82,2022,61.33241,61.3322,-173.651,-173.59262,74,-0.2,10285,23.08,25,0.053522452,431.220901463931,467.093697426269,"T-25"
"5",98,"EBS",202501,-773,2025,-24787,82,2022,61.33241,61.3322,-173.651,-173.59262,74,-0.2,21348,0,0,0.053522452,0,0,"T-25"
"6",98,"EBS",202501,-773,2025,-24787,82,2022,61.33241,61.3322,-173.651,-173.59262,74,-0.2,21720,207.588,127,0.053522452,3878.52185845297,2372.83598292545,"T-25"
"7",98,"EBS",202501,-773,2025,-24787,82,2022,61.33241,61.3322,-173.651,-173.59262,74,-0.2,21725,0,0,0.053522452,0,0,"T-25"
"8",98,"EBS",202501,-773,2025,-24787,82,2022,61.33241,61.3322,-173.651,-173.59262,74,-0.2,24185,13.532,67,0.053522452,252.828476542891,1251.8111091024,"T-25"
"9",98,"EBS",202501,-773,2025,-24787,82,2022,61.33241,61.3322,-173.651,-173.59262,74,-0.2,66045,0,0,0.053522452,0,0,"T-25"
"10",98,"EBS",202501,-773,2025,-24786,82,2022,61.33257,61.33285,-174.36803,-174.31047,78,-0.3,10115,0,0,0.049916559,0,0,"T-26"
"11",98,"EBS",202501,-773,2025,-24786,82,2022,61.33257,61.33285,-174.36803,-174.31047,78,-0.3,10140,9.593,67,0.049916559,192.180715020841,1342.23995688485,"T-26"
"12",98,"EBS",202501,-773,2025,-24786,82,2022,61.33257,61.33285,-174.36803,-174.31047,78,-0.3,10212,0,0,0.049916559,0,0,"T-26"
"13",98,"EBS",202501,-773,2025,-24786,82,2022,61.33257,61.33285,-174.36803,-174.31047,78,-0.3,10285,33.1,31,0.049916559,663.1066055655,621.036397961646,"T-26"
"14",98,"EBS",202501,-773,2025,-24786,82,2022,61.33257,61.33285,-174.36803,-174.31047,78,-0.3,21348,0,0,0.049916559,0,0,"T-26"
"15",98,"EBS",202501,-773,2025,-24786,82,2022,61.33257,61.33285,-174.36803,-174.31047,78,-0.3,21720,6.72,9,0.049916559,134.624664332331,180.300889730801,"T-26"
"16",98,"EBS",202501,-773,2025,-24786,82,2022,61.33257,61.33285,-174.36803,-174.31047,78,-0.3,21725,0.023,1,0.049916559,0.460768940423157,20.0334321923112,"T-26"
